State Popn     Tax     NLic  Income  RoadMls FuelCon   DLic  Fuel_Pop
ME    1029.    9.00    540.   3.571   1.976    557.    52.5    541.
NH     771.    9.00    441.   4.092   1.250    404.    57.2    524.
VT     462.    9.00    268.   3.865   1.586    259.    58.0    561.
MA    5787.    7.50   3060.   4.870   2.351   2396.    52.9    414.
RI     968.    8.00    527.   4.399    .431    397.    54.4    410.
CN    3082.   10.00   1760.   5.342   1.333   1408.    57.1    457.
NY   18366.    8.00   8278.   5.319  11.868   6312.    45.1    344.
NJ    7367.    8.00   4074.   5.126   2.138   3439.    55.3    467.
PA   11926.    8.00   6312.   4.447   8.577   5528.    52.9    464.
OH   10783.    7.00   5948.   4.512   8.507   5375.    55.2    498.
IN    5291.    8.00   2804.   4.391   5.939   3068.    53.0    580.
IL   11251.    7.50   5903.   5.126  14.186   5301.    52.5    471.
MI    9082.    7.00   5213.   4.817   6.930   4768.    57.4    525.
WI    4520.    7.00   2465.   4.207   6.580   2294.    54.5    508.
MN    3896.    7.00   2368.   4.332   8.159   2204.    60.8    566.
IA    2883.    7.00   1689.   4.318  10.340   1830.    58.6    635.
MO    4753.    7.00   2719.   4.206   8.508   2865.    57.2    603.
ND     632.    7.00    341.   3.718   4.725    451.    54.0    714.
SD     579.    7.00    419.   4.716   5.915    501.    72.4    865.
NE    1525.    8.50   1033.   4.341   6.010    976.    67.7    640.
KS    2258.    7.00   1496.   4.593   7.834   1466.    66.3    649.
DE     565.    8.00    340.   4.983    .602    305.    60.2    540.
MD    4056.    9.00   2073.   4.897   2.449   1883.    51.1    464.
VA    4764.    9.00   2463.   4.258   4.686   2604.    51.7    547.
WV    1781.    8.50    982.   4.574   2.619    819.    55.1    460.
NC    5214.    9.00   2835.   3.721   4.746   2953.    54.4    566.
SC    2665.    8.00   1460.   3.448   5.399   1537.    54.8    577.
GA    4720.    7.50   2731.   3.846   9.061   2979.    57.9    631.
FL    7259.    8.00   4084.   4.188   5.975   4169.    56.3    574.
KY    3299.    9.00   1626.   3.601   4.650   1761.    49.3    534.
TN    4031.    7.00   2088.   3.640   6.905   2301.    51.8    571.
AL    3510.    7.00   1801.   3.333   6.594   1946.    51.3    554.
MS    2263.    8.00   1309.   3.063   6.524   1306.    57.8    577.
AR    1978.    7.50   1081.   3.357   4.121   1242.    54.7    628.
LA    3720.    8.00   1813.   3.528   3.495   1812.    48.7    487.
OK    2634.    6.58   1657.   3.802   7.834   1695.    62.9    644.
TX   11649.    5.00   6595.   4.045  17.782   7451.    56.6    640.
MT     719.    7.00    421.   3.897   6.385    506.    58.6    704.
ID     756.    8.50    501.   3.635   3.274    490.    66.3    648.
WY     345.    7.00    232.   4.345   3.905    334.    67.2    968.
CO    2357.    7.00   1475.   4.449   4.639   1384.    62.6    587.
NM    1065.    7.00    600.   3.656   3.985    744.    56.3    699.
AZ    1945.    7.00   1173.   4.300   3.635   1230.    60.3    632.
UT    1126.    7.00    572.   3.745   2.611    666.    50.8    591.
NV     527.    6.00    354.   5.215   2.302    412.    67.2    782.
WN    3443.    9.00   1966.   4.476   3.942   1757.    57.1    510.
OR    2182.    7.00   1360.   4.296   4.083   1331.    62.3    610.
CA   20468.    7.00  12130.   5.002   9.794  10730.    59.3    524.
